Branch,Course Name,Instructor,Discussion Schedule,Tutorial Schedule,Practical Schedule,Course,Credits
MTH,ANALYSIS OF VARIANCE,SHALABH ,TThF  08:00-09:00,W 10:00-11:00,,MTH513A,11
MTH,MULTIVARIATE ANALYSIS,Minerva Mukhopadhyay,"W 14:00-15:00 ,MF  16:00-17:00",Th 11:00-12:00,,MTH514A,11
MTH,NON-PARAMETRIC INFERENCE,Dootika Vats,TWF  15:00-16:00,M 10:00-11:00,,MTH516A,11
MTH,AN INTRODUCTION TO BAYESIAN ANALYSIS,DEBASIS KUNDU ,MWF  09:00-10:00,,,MTH535A,9
MTH,STATISTICAL & AI TECHIQUES IN DATA MINING,AMIT MITRA ,"T 09:00-10:00 ,Th 10:00-11:00 ,M 11:00-12:00",,,MTH552A,9
MTH,ALGEBRA II,ALOK KUMAR MALOO ,"W  14:00-15:00 ,MF  16:00-17:00",,,MTH611A,9
MTH,INTRODUCTION TO COMMUTATIVE ALGEBRA,Sachin Subhash Sharma ,TW  12:00-13:15,,,MTH612A,9
MTH,RINGS AND MODULES,Amit Shekhar Kuber ,"T  09:00-10:15 ,M  12:00-13:15",,,MTH613A,9
MTH,INTRODUCTION TO HYPERBOLIC GEOMETRY,ABHIJIT PAL,MWF  09:00-10:00,,,MTH633A,9
MTH,AN INTRODUCTION TO OPERATOR THEORY,SASMITA PATNAIK ,MWF  09:00-10:00,,,MTH635A,9
MTH,SEVERAL COMPLEX VARIABLES,SAMEER LAXMAN CHAVAN ,"MW  08:00-09:00 ,Th  14:00-15:00",,,MTH640A,9
MTH,DIFFERENTIAL GEOMETRY,G SANTHANAM ,"M  15:00-16:00 ,TW  16:00-17:00",,,MTH648A,9
MTH,ADVANCED CALCULUS,RAMA RAWAT ,MWTh  17:10-18:15,,,MTH652A,9
MTH,PARALLEL NUMERICAL METHODS,B V R KUMAR ,TWF  15:00-16:00,,,MTH655A,9
MTH,SOBOLEV SPACES AND APPLICATIONS,T MUTHUKUMAR ,"W  14:00-15:00 ,MF  16:00-17:00",,,MTH656A,9
MTH,ASYMPTOTIC STATISTICS,SUBHAJIT DUTTA,"T  10:30-11:45 ,Th  12:00-13:15",,,MTH665A,9
MTH,INTRODUCTION TO ANALYTIC NUMER THEORY,Saurabh Singh,TTh  17:15-18:30,,,MTH668A,9
MTH,ROBUST STATISTICAL METHODS,SUBHRA SANKAR DHAR,TW  12:00-13:15,,,MTH673A,9
MTH,NONLINEAR REGRESSION,DEBASIS KUNDU ,MT  17:10-18:30,,,MTH686A,9
MTH,LINEAR AND NON-LINEAR MODELS,Satya Singh,MTF  14:00-15:00,,,MTH689A,9
MTH,MODAL LOGIC,MOHUA BANERJEE   mohua@iitk.ac.in ,"T  09:00-10:15 ,M  12:00-13:15",,,MTH701A,9
MTH,NUMERICAL SOLUTION OF INTEGRAL EQUATIONS,AKASH ANAND,TTh  17:15-18:30,,,MTH720A,9
MTH,REPRESENTATION THEORY OF FINITE GROUPS,SOMNATH JHA ,TThF  08:00-09:00,,,MTH732A,9
MTH,ALGEBRA,Pooja Singla,"MW  10:00-11:00 ,F  12:00-13:00",,,MTH751A,9
